,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.44,0.51,0.36574085908992465,0.4
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.283,0.351,0.36574085908992465,0.45
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.181,0.237,0.36574085908992465,0.5
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.094,0.136,0.36574085908992465,0.55
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.052,0.086,0.36574085908992465,0.6
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.021,0.043,0.36574085908992465,0.65
MTMR,1.0,0.799258549846302,0.7925873854260127,0.3294977053653311,0.999,0.008,0.025,0.36574085908992465,0.7
JTVAE,0.924,0.15295360282245127,0.14655473326833054,0.40304466482267953,0.919,0.073,0.387,0.0,0.4
JTVAE,0.924,0.15295360282245127,0.14655473326833054,0.40304466482267953,0.919,0.049,0.253,0.0,0.45
JTVAE,0.924,0.15295360282245127,0.14655473326833054,0.40304466482267953,0.919,0.035,0.174,0.0,0.5
JTVAE,0.924,0.15295360282245127,0.14655473326833054,0.40304466482267953,0.919,0.021,0.124,0.0,0.55
JTVAE,0.924,0.15295360282245127,0.14655473326833054,0.40304466482267953,0.919,0.012,0.086,0.0,0.6
JTVAE,0.924,0.15295360282245127,0.14655473326833054,0.40304466482267953,0.919,0.007,0.057,0.0,0.65
JTVAE,0.924,0.15295360282245127,0.14655473326833054,0.40304466482267953,0.919,0.0,0.026,0.0,0.7
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.132,0.159,0.4328934846038122,0.4
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.052,0.068,0.4328934846038122,0.45
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.02,0.028,0.4328934846038122,0.5
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.008,0.011,0.4328934846038122,0.55
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.002,0.004,0.4328934846038122,0.6
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.002,0.003,0.4328934846038122,0.65
VJTNN,0.999,0.8033392466616203,0.7966729351540807,0.343539307199486,0.696,0.0,0.0,0.4328934846038122,0.7
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.199,0.243,0.5069009856664853,0.4
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.083,0.112,0.5069009856664853,0.45
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.033,0.05,0.5069009856664853,0.5
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.014,0.022,0.5069009856664853,0.55
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.007,0.011,0.5069009856664853,0.6
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.002,0.002,0.5069009856664853,0.65
VJTNN+GAN,0.999,0.7870936950579862,0.7804273835504464,0.3239540230456337,0.885,0.001,0.001,0.5069009856664853,0.7
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.153,0.191,0.45931865306137665,0.4
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.051,0.076,0.45931865306137665,0.45
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.028,0.042,0.45931865306137665,0.5
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.011,0.017,0.45931865306137665,0.55
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.005,0.007,0.45931865306137665,0.6
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.001,0.003,0.45931865306137665,0.65
CORE,0.999,0.7996429216814283,0.7929766101738899,0.33847907371240143,0.779,0.0,0.0,0.45931865306137665,0.7
