,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS_PROP,SUCCESS_IMPR,DIVERSITY,THRESHOLD_SIMILARITY
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.42625,0.7425,0.5804827983862233,0.4
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.335,0.64125,0.5804827983862233,0.45
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.25375,0.53375,0.5804827983862233,0.5
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.175,0.40875,0.5804827983862233,0.55
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.10125,0.28875,0.5804827983862233,0.6
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.04875,0.1675,0.5804827983862233,0.65
MTMR,1.0,0.866313218656368,0.11354532647236056,0.3434404336930712,1.0,0.01625,0.09125,0.5804827983862233,0.7
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.06875,0.38125,0.0,0.4
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.05,0.275,0.0,0.45
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.03,0.19125,0.0,0.5
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.02125,0.12625,0.0,0.55
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.0125,0.08125,0.0,0.6
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.0075,0.05625,0.0,0.65
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.0025,0.02875,0.0,0.7
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.55875,0.6625,0.6743990346132107,0.4
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.42875,0.53375,0.6743990346132107,0.45
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.30875,0.4025,0.6743990346132107,0.5
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.1925,0.27,0.6743990346132107,0.55
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.0975,0.1525,0.6743990346132107,0.6
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.055,0.08625,0.6743990346132107,0.65
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.02375,0.0425,0.6743990346132107,0.7
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.57375,0.69875,0.6827888862969845,0.4
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.43125,0.57,0.6827888862969845,0.45
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.31,0.4425,0.6827888862969845,0.5
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.1775,0.2925,0.6827888862969845,0.55
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.0875,0.1775,0.6827888862969845,0.6
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.04625,0.09125,0.6827888862969845,0.65
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.01375,0.04125,0.6827888862969845,0.7
