,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS,SUCCESS_WO_NOVEL,DIVERSITY,THRESHOLD_SIMILARITY
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.77875,0.77875,0.4221554126572646,0.4
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.7075,0.7075,0.4221554126572646,0.45
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.635,0.635,0.4221554126572646,0.5
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.53875,0.53875,0.4221554126572646,0.55
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.4425,0.4425,0.4221554126572646,0.6
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.30625,0.30625,0.4221554126572646,0.65
MTMR,0.9575,1.3129589409199462,3.8598471117601747,0.3834894995713614,0.9575,0.18125,0.18125,0.4221554126572646,0.7
JTVAE,0.2875,0.28710941641970816,0.8952148369479773,0.06812707759652409,0.2875,0.025,0.025,0.2875,0.4
JTVAE,0.2875,0.28710941641970816,0.8952148369479773,0.06812707759652409,0.2875,0.0125,0.0125,0.2875,0.45
JTVAE,0.2875,0.28710941641970816,0.8952148369479773,0.06812707759652409,0.2875,0.0075,0.0075,0.2875,0.5
JTVAE,0.2875,0.28710941641970816,0.8952148369479773,0.06812707759652409,0.2875,0.005,0.005,0.2875,0.55
JTVAE,0.2875,0.28710941641970816,0.8952148369479773,0.06812707759652409,0.2875,0.00125,0.00125,0.2875,0.6
JTVAE,0.2875,0.28710941641970816,0.8952148369479773,0.06812707759652409,0.2875,0.00125,0.00125,0.2875,0.65
JTVAE,0.2875,0.28710941641970816,0.8952148369479773,0.06812707759652409,0.2875,0.00125,0.00125,0.2875,0.7
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.65375,0.65625,0.39662217648524306,0.4
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.61,0.6125,0.39662217648524306,0.45
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.55,0.55125,0.39662217648524306,0.5
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.47,0.47125,0.39662217648524306,0.55
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.3725,0.37375,0.39662217648524306,0.6
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.26375,0.265,0.39662217648524306,0.65
VJTNN,0.82625,0.7682002605952786,2.7715428676462928,0.3988034265746704,0.825,0.14875,0.14875,0.39662217648524306,0.7
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.71,0.71,0.39836435983913243,0.4
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.66125,0.66125,0.39836435983913243,0.45
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.59625,0.59625,0.39836435983913243,0.5
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.51125,0.51125,0.39836435983913243,0.55
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.415,0.415,0.39836435983913243,0.6
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.2925,0.2925,0.39836435983913243,0.65
VJTNN+GAN,0.88125,0.9868025669283407,3.2221528426488923,0.39741754886669695,0.88125,0.17125,0.17125,0.39836435983913243,0.7
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.6725,0.6725,0.3960680022311617,0.4
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.59625,0.59625,0.3960680022311617,0.45
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.5425,0.5425,0.3960680022311617,0.5
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.44625,0.4475,0.3960680022311617,0.55
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.36125,0.36125,0.3960680022311617,0.6
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.24125,0.24125,0.3960680022311617,0.65
CORE,0.85875,0.8713877085732569,3.0371502486421678,0.39582574385433067,0.85875,0.14625,0.14625,0.3960680022311617,0.7
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.59,0.59,0.37513500966289953,0.4
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.5325,0.5325,0.37513500966289953,0.45
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.46125,0.46125,0.37513500966289953,0.5
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.38125,0.38125,0.37513500966289953,0.55
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.2825,0.2825,0.37513500966289953,0.6
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.2025,0.2025,0.37513500966289953,0.65
HierG2G,0.825,0.7877733672003138,2.828205802330673,0.34370406149446864,0.825,0.11625,0.11625,0.37513500966289953,0.7
