,VALID_RATIO,PROPERTY,IMPROVEMENT,SIMILARITY,NOVELTY,SUCCESS,SUCCESS_WO_NOVEL,DIVERSITY,THRESHOLD_SIMILARITY
MTMR,1.0,0.8731383161627768,0.12037042397876808,0.35284913201767426,1.0,0.22625,0.22625,0.5351641066455677,0.4
MTMR,1.0,0.8731383161627768,0.12037042397876808,0.35284913201767426,1.0,0.1675,0.1675,0.5351641066455677,0.45
MTMR,1.0,0.8731383161627768,0.12037042397876808,0.35284913201767426,1.0,0.1225,0.1225,0.5351641066455677,0.5
MTMR,1.0,0.8731383161627768,0.12037042397876808,0.35284913201767426,1.0,0.07875,0.07875,0.5351641066455677,0.55
MTMR,1.0,0.8731383161627768,0.12037042397876808,0.35284913201767426,1.0,0.04625,0.04625,0.5351641066455677,0.6
MTMR,1.0,0.8731383161627768,0.12037042397876808,0.35284913201767426,1.0,0.02,0.02,0.5351641066455677,0.65
MTMR,1.0,0.8731383161627768,0.12037042397876808,0.35284913201767426,1.0,0.0075,0.0075,0.5351641066455677,0.7
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.03875,0.03875,0.87875,0.4
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.02875,0.02875,0.87875,0.45
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.0175,0.0175,0.87875,0.5
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.01125,0.01125,0.87875,0.55
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.005,0.005,0.87875,0.6
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.00375,0.00375,0.87875,0.65
JTVAE,0.87875,0.696588573008079,0.036101718569328874,0.38620303268259326,0.87875,0.0025,0.0025,0.87875,0.7
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.3525,0.365,0.3256009653867893,0.4
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.2725,0.2825,0.3256009653867893,0.45
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.1725,0.18375,0.3256009653867893,0.5
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.09625,0.1,0.3256009653867893,0.55
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.04875,0.05,0.3256009653867893,0.6
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.02625,0.0275,0.3256009653867893,0.65
VJTNN,1.0,0.9035510253095748,0.15078313312556646,0.3075692174829277,1.0,0.0125,0.0125,0.3256009653867893,0.7
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.3525,0.365,0.31721111370301575,0.4
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.2575,0.2675,0.31721111370301575,0.45
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.175,0.18375,0.31721111370301575,0.5
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.09125,0.095,0.31721111370301575,0.55
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.04375,0.04625,0.31721111370301575,0.6
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.0225,0.025,0.31721111370301575,0.65
VJTNN+GAN,1.0,0.8979799911852546,0.14521209900124568,0.3119470763947799,1.0,0.00375,0.00375,0.31721111370301575,0.7
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.3625,0.3725,0.3218788076938971,0.4
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.26875,0.27875,0.3218788076938971,0.45
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.19375,0.2025,0.3218788076938971,0.5
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.11875,0.12125,0.3218788076938971,0.55
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.06,0.06125,0.3218788076938971,0.6
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.025,0.025,0.3218788076938971,0.65
CORE,1.0,0.898933865451352,0.14616597326734304,0.31707535599121406,1.0,0.01125,0.01125,0.3218788076938971,0.7
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.29125,0.29625,0.27170648547839454,0.4
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.215,0.22,0.27170648547839454,0.45
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.1375,0.14125,0.27170648547839454,0.5
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.07125,0.0725,0.27170648547839454,0.55
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.03625,0.03625,0.27170648547839454,0.6
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.0125,0.01375,0.27170648547839454,0.65
HierG2G,0.96125,0.8586986263610136,0.13465940706990695,0.27091915829008395,0.96125,0.00375,0.00375,0.27170648547839454,0.7
MolCycleGAN,0.965,0.7558246197776378,0.029974023929495563,0.26908150906403144,0.965,0.0075,0.0075,0.965,0.4
MolCycleGAN,0.965,0.7558246197776378,0.029974023929495563,0.26908150906403144,0.965,0.005,0.005,0.965,0.45
MolCycleGAN,0.965,0.7558246197776378,0.029974023929495563,0.26908150906403144,0.965,0.00375,0.00375,0.965,0.5
MolCycleGAN,0.965,0.7558246197776378,0.029974023929495563,0.26908150906403144,0.965,0.0025,0.0025,0.965,0.55
MolCycleGAN,0.965,0.7558246197776378,0.029974023929495563,0.26908150906403144,0.965,0.0025,0.0025,0.965,0.6
MolCycleGAN,0.965,0.7558246197776378,0.029974023929495563,0.26908150906403144,0.965,0.00125,0.00125,0.965,0.65
MolCycleGAN,0.965,0.7558246197776378,0.029974023929495563,0.26908150906403144,0.965,0.0,0.0,0.965,0.7
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.175,0.175,0.49656200000944006,0.4
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.1225,0.1225,0.49656200000944006,0.45
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.08625,0.08625,0.49656200000944006,0.5
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.05125,0.05125,0.49656200000944006,0.55
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.03375,0.03375,0.49656200000944006,0.6
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.015,0.015,0.49656200000944006,0.65
UGMMT,0.9975,0.8511157542466286,0.10023653959885107,0.33163525087382034,0.9975,0.00625,0.00625,0.49656200000944006,0.7
